0,CombatZoneResizeInstant,300,230,329,350,;,,,
0,HeartTeleport,315,330,;,,,,,
0,SansText,Ready?,,;,,,,,
0.5,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,330,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,240,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.6,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,295,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,240,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.6,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,330,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,240,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.6,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,330,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,295,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.6,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,330,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,240,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.6,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0,GasterBlaster,1,100,0,240,330,360,0.4,0.6;
0,GasterBlaster,1,100,0,240,295,360,0.4,0.6;
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
0.1,BoneV,329,226,300,2,75,1;,,
