0,CombatZoneResizeInstant,10,226,600,391,;,,
0,HeartTeleport,310,304,;,,,,
0,SansText,Ready?,,;,,,,
0,BoneVRepeat,20,310,75,0,150,5,240;
0,BoneVRepeat,20,235,15,0,150,5,240;
0.1,BoneVRepeat,20,310,75,0,150,5,240;
0,BoneVRepeat,20,235,15,0,150,5,240;
0.1,BoneVRepeat,20,310,75,0,150,5,240;
0,Platform,20,300,40,0,150,0;,
0,BoneVRepeat,20,235,15,0,150,5,240;
0.1,BoneVRepeat,20,320,65,0,150,5,240;
0,BoneVRepeat,20,235,25,0,150,5,240;
0.1,BoneVRepeat,20,330,55,0,150,5,240;
0,BoneVRepeat,20,235,35,0,150,5,240;
0.1,BoneVRepeat,20,340,45,0,150,5,240;
0,BoneVRepeat,20,235,45,0,150,5,240;
0.1,BoneVRepeat,20,350,35,0,150,5,240;
0,BoneVRepeat,20,235,55,0,150,5,240;
0.1,BoneVRepeat,20,360,25,0,150,5,240;
0,BoneVRepeat,20,235,65,0,150,5,240;
0.1,BoneVRepeat,20,370,15,0,150,5,240;
0,BoneVRepeat,20,235,75,0,150,5,240;
0.1,BoneVRepeat,20,370,15,0,150,5,240;
0,BoneVRepeat,20,235,75,0,150,5,240;
0.1,BoneVRepeat,20,370,15,0,150,5,240;
0,Platform,20,360,40,0,150,0;,
0,BoneVRepeat,20,235,75,0,150,5,240;
0.1,BoneVRepeat,20,360,25,0,150,5,240;
0,BoneVRepeat,20,235,65,0,150,5,240;
0.1,BoneVRepeat,20,350,35,0,150,5,240;
0,BoneVRepeat,20,235,55,0,150,5,240;
0.1,BoneVRepeat,20,340,45,0,150,5,240;
0,BoneVRepeat,20,235,45,0,150,5,240;
0.1,BoneVRepeat,20,330,55,0,150,5,240;
0,BoneVRepeat,20,235,35,0,150,5,240;
0.1,BoneVRepeat,20,320,65,0,150,5,240;
0,BoneVRepeat,20,235,25,0,150,5,240;
0,HeartMode,1,;,,,,,
1.1,Platform,20,360,40,0,150,0;,
1.6,Platform,20,360,40,0,150,0;,
1.6,Platform,20,360,40,0,150,0;,
1.6,Platform,20,360,40,0,150,0;,
